,drug1,drug2,cell,label
5,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,MSTO,0
27,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,MSTO,0
44,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,MSTO,0
69,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,MSTO,1
95,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,MSTO,1
142,O=c1[nH]cc(F)c(=O)[nH]1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,MSTO,0
192,O=c1[nH]cc(F)c(=O)[nH]1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,MSTO,0
210,O=c1[nH]cc(F)c(=O)[nH]1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,MSTO,0
229,O=c1[nH]cc(F)c(=O)[nH]1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,MSTO,0
243,O=c1[nH]cc(F)c(=O)[nH]1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,MSTO,0
262,O=c1[nH]cc(F)c(=O)[nH]1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,MSTO,0
290,O=c1[nH]cc(F)c(=O)[nH]1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1,MSTO,0
310,O=c1[nH]cc(F)c(=O)[nH]1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,MSTO,1
327,O=c1[nH]cc(F)c(=O)[nH]1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,MSTO,0
339,O=c1[nH]cc(F)c(=O)[nH]1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,MSTO,0
355,O=c1[nH]cc(F)c(=O)[nH]1,Cn1nnc2c(C(N)=O)ncn2c1=O,MSTO,0
404,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,MSTO,1
